id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6499,Belém 1 Bedroom Historical Apartment,14455,Bruno,Lisboa,Belm,38.6975,-9.19768,Entire home/apt,45,3,47,2022-10-07,0.47,1,250,15,
25659,Heart of Alfama -  Le cœur d'Alfama - Sleeps 3,107347,Ellie,Lisboa,Santa Maria Maior,38.71241,-9.12706,Entire home/apt,60,2,175,2022-12-11,1.66,1,310,48,56539/AL.
29248,Apartamento Alfama com vista para o rio!,125768,Bárbara,Lisboa,Santa Maria Maior,38.71082,-9.12719,Entire home/apt,60,5,353,2022-09-05,2.42,1,208,17,23535/AL
133645,A pleasure in Lisbon,656138,Juan,Lisboa,Santa Maria Maior,38.71091,-9.13251,Entire home/apt,69,2,348,2022-11-14,2.52,2,161,62,AL/6125
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71156,-9.12987,Entire home/apt,66,2,352,2022-12-04,2.73,1,223,51,28737/AL
134438,The Oasis   Beautiful outside terrace and garden!,659768,Matt,Lisboa,So Vicente,38.71841,-9.1233,Entire home/apt,120,5,204,2022-11-06,1.48,2,344,5,60792/AL
272438,Modern decor in best neighbourhood,1416183,Fadoflats,Lisboa,Santa Maria Maior,38.71291,-9.14234,Entire home/apt,108,3,109,2022-10-24,0.87,11,169,33,3019/AL
29720,TheHOUSE - Your luxury home,128075,Francisco,Lisboa,Estrela,38.71108,-9.15979,Entire home/apt,1186,2,88,2022-11-20,0.60,2,277,23,55695/AL
273835,Challet Joset I Old Fashioned House,1432350,Samantha,Cascais,Carcavelos e Parede,38.69219,-9.35887,Entire home/apt,85,3,31,2022-11-30,0.28,3,169,10,
134624,Sea views - 270 degrees,660500,Nuno,Mafra,Ericeira,38.985851,-9.415645,Entire home/apt,80,3,8,2022-09-30,0.06,1,365,7,
29915,Modern and Cool Apartment in Lisboa,128890,Sara,Lisboa,Avenidas Novas,38.74571,-9.15264,Entire home/apt,60,5,47,2021-12-21,0.31,1,206,1,85851/AL.
135261,Lisbon City Center 2 Bedroom Apt,663233,Leo,Lisboa,Misericrdia,38.71298,-9.14541,Entire home/apt,104,3,257,2022-12-02,1.85,2,131,25,20021/AL
137054,A pleasure in Lisbon 2,656138,Juan,Lisboa,Santa Maria Maior,38.71236,-9.13129,Entire home/apt,68,2,268,2022-11-07,1.97,2,170,51,AL/6167
279549,"3 Bedrooms, 3 bathrooms and terrace - Chiado",1457564,Ines,Lisboa,Misericrdia,38.71001,-9.14374,Entire home/apt,234,5,283,2022-11-14,2.20,2,280,50,35949/AL
281407,BERNARDIM BROWN IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72621,-9.14318,Entire home/apt,169,3,4,2022-05-02,0.06,7,329,1,15252/AL
286706,BERNARDIM GREY IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72486,-9.14329,Entire home/apt,120,3,9,2019-11-02,0.09,7,230,0,AL15255
33348,Happy Season,144484,Bruno,Lisboa,Lumiar,38.76427,-9.15301,Private room,40,1,2,2011-07-22,0.01,2,15,0,
290898,Welcome to Lisbon,1489229,João,Lisboa,Campolide,38.72932,-9.16566,Private room,20,2,6,2022-09-05,0.12,2,224,3,Registo como alojamento local no turismo de Portugal 9109/AL
290912,Private room for 1 or 2 guests in shared apartment,1489229,João,Lisboa,Campolide,38.72841,-9.1667,Private room,50,2,40,2021-06-17,0.32,2,364,0,Registo como alojamento local no turismo de Portugal 5955/AL
138542,Dear Home ★ In the Heart of Lisbon,676330,Margarida,Lisboa,Santo Antnio,38.71821,-9.15398,Entire home/apt,103,4,24,2022-12-15,1.77,5,62,23,
138929,Regueira street Apartm 88 4floor Alfama - 28599/AL,677938,Diogo And Maria,Lisboa,Santa Maria Maior,38.71231,-9.12918,Entire home/apt,45,3,452,2022-12-11,3.25,1,224,73,28599/AL
42519,Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º,136230,David,Lisboa,Misericrdia,38.71062,-9.149,Entire home/apt,50,1,148,2022-12-11,1.09,7,350,28,81551/AL
138999,Apt Cathedral with River View,678222,Helena,Lisboa,Santa Maria Maior,38.71064,-9.13278,Entire home/apt,86,2,122,2022-12-16,0.89,3,5,12,23108 - AL
140080,Apartments in Lisbon city center 1º,682628,Paulo Eduardo,Lisboa,Misericrdia,38.71308,-9.14514,Entire home/apt,285,2,30,2022-07-25,0.22,5,94,1,2691/AL
291676,BAIRRO ALTO APARTMENT in Lisbon 3º,682628,Paulo Eduardo,Lisboa,Misericrdia,38.71308,-9.14514,Entire home/apt,185,5,12,2022-07-26,0.10,5,111,4,2696/AL
48025,Apartment for renting  in Lisbon,218778,José,Lisboa,Misericrdia,38.71195,-9.14463,Entire home/apt,75,5,29,2022-10-31,0.21,6,78,11,66950/AL
291999,CHARM in Historic Center of Lisbon - BAIRRO ALTO,1029524,Luis,Lisboa,Misericrdia,38.71099,-9.14829,Entire home/apt,77,3,313,2022-11-25,2.36,21,346,31,61842/AL
297131,Lovely Apartment close to the sea,1532497,Maria,Cascais,Cascais e Estoril,38.69901,-9.4398,Entire home/apt,82,3,35,2019-08-25,0.28,1,350,0,35001/AL
299321,Central Apartment & 360º Terrace,9416641,Sandra & Sofia,Lisboa,Santo Antnio,38.7213,-9.14437,Entire home/apt,87,2,616,2022-11-30,4.66,2,288,53,2156/AL
141883,Gomes Freire Studio with Balcony,688914,Luis,Cascais,Cascais e Estoril,38.6961,-9.42215,Entire home/apt,100,1,45,2022-10-29,0.35,36,332,12,10955/AL
